,year,title,author,abstract,link,pdf,name
0,2019,PAC Learnability of Node Functions in Networked Dynamical Systems,"Abhijin Adiga,         Chris J Kuhlman,         Madhav Marathe,         S Ravi,         Anil Vullikanti","We consider the PAC learnability of the local functions at the vertices of a discrete networked dynamical system, assuming that the underlying network is known. Our focus is on the learnability of threshold functions. We show that several variants of threshold functions are PAC learnable and provide tight bounds on the sample complexity. In general, when the input consists of positive and negative examples, we show that the concept class of threshold functions is not efficiently PAC learnable, unless NP = RP. Using a dynamic programming approach, we show efficient PAC learnability when the number of negative examples is small. We also present an efficient learner which is consistent with all the positive examples and at least (1-1/e) fraction of the negative examples. This algorithm is based on maximizing a submodular function under matroid constraints. By performing experiments on both synthetic and real-world networks, we study how the network structure and sample complexity influence the quality of the inferred system.",http://proceedings.mlr.press/v97/adiga19a.html,http://proceedings.mlr.press/v97/adiga19a/adiga19a.pdf,ICML
1,2019,Finding Mixed Nash Equilibria of Generative Adversarial Networks,"Ya-Ping Hsieh,         Chen Liu,         Volkan Cevher","Generative adversarial networks (GANs) are known to achieve the state-of-the-art performance on various generative tasks, but these results come at the expense of a notoriously difficult training phase. Current training strategies typically draw a connection to optimization theory, whose scope is restricted to local convergence due to the presence of non-convexity. In this work, we tackle the training of GANs by rethinking the problem formulation from the mixed Nash Equilibria (NE) perspective. Via a classical lifting trick, we show that essentially all existing GAN objectives can be relaxed into their mixed strategy forms, whose global optima can be solved via sampling, in contrast to the exclusive use of optimization framework in previous work. We further propose a mean-approximation sampling scheme, which allows to systematically exploit methods for bi-affine games to delineate novel, practical training algorithms of GANs. Finally, we provide experimental evidence that our approach yields comparable or superior results to contemporary training algorithms, and outperforms classical methods such as SGD, Adam, and RMSProp.",http://proceedings.mlr.press/v97/hsieh19b.html,http://proceedings.mlr.press/v97/hsieh19b/hsieh19b.pdf,ICML
2,2019,Nonparametric Bayesian Deep Networks with Local Competition,"Konstantinos Panousis,         Sotirios Chatzis,         Sergios Theodoridis","The aim of this work is to enable inference of deep networks that retain high accuracy for the least possible model complexity, with the latter deduced from the data during inference. To this end, we revisit deep networks that comprise competing linear units, as opposed to nonlinear units that do not entail any form of (local) competition. In this context, our main technical innovation consists in an inferential setup that leverages solid arguments from Bayesian nonparametrics. We infer both the needed set of connections or locally competing sets of units, as well as the required floating-point precision for storing the network parameters. Specifically, we introduce auxiliary discrete latent variables representing which initial network components are actually needed for modeling the data at hand, and perform Bayesian inference over them by imposing appropriate stick-breaking priors. As we experimentally show using benchmark datasets, our approach yields networks with less computational footprint than the state-of-the-art, and with no compromises in predictive accuracy.",http://proceedings.mlr.press/v97/panousis19a.html,http://proceedings.mlr.press/v97/panousis19a/panousis19a.pdf,ICML
3,2019,Improved Dynamic Graph Learning through Fault-Tolerant Sparsification,"Chunjiang Zhu,         Sabine Storandt,         Kam-Yiu Lam,         Song Han,         Jinbo Bi","Graph sparsification has been used to improve the computational cost of learning over graphs, e.g., Laplacian-regularized estimation and graph semi-supervised learning (SSL). However, when graphs vary over time, repeated sparsification requires polynomial order computational cost per update. We propose a new type of graph sparsification namely fault-tolerant (FT) sparsification to significantly reduce the cost to only a constant. Then the computational cost of subsequent graph learning tasks can be significantly improved with limited loss in their accuracy. In particular, we give theoretical analyze to upper bound the loss in the accuracy of the subsequent Laplacian-regularized estimation and graph SSL, due to the FT sparsification. In addition, FT spectral sparsification can be generalized to FT cut sparsification, for cut-based graph learning. Extensive experiments have confirmed the computational efficiencies and accuracies of the proposed methods for learning on dynamic graphs.",http://proceedings.mlr.press/v97/zhu19b.html,http://proceedings.mlr.press/v97/zhu19b/zhu19b.pdf,ICML
4,2019,Tensor Variable Elimination for Plated Factor Graphs,"Fritz Obermeyer,         Eli Bingham,         Martin Jankowiak,         Neeraj Pradhan,         Justin Chiu,         Alexander Rush,         Noah Goodman","A wide class of machine learning algorithms can be reduced to variable elimination on factor graphs. While factor graphs provide a unifying notation for these algorithms, they do not provide a compact way to express repeated structure when compared to plate diagrams for directed graphical models. To exploit efficient tensor algebra in graphs with plates of variables, we generalize undirected factor graphs to plated factor graphs and variable elimination to a tensor variable elimination algorithm that operates directly on plated factor graphs. Moreover, we generalize complexity bounds based on treewidth and characterize the class of plated factor graphs for which inference is tractable. As an application, we integrate tensor variable elimination into the Pyro probabilistic programming language to enable exact inference in discrete latent variable models with repeated structure. We validate our methods with experiments on both directed and undirected graphical models, including applications to polyphonic music modeling, animal movement modeling, and latent sentiment analysis.",http://proceedings.mlr.press/v97/obermeyer19a.html,http://proceedings.mlr.press/v97/obermeyer19a/obermeyer19a.pdf,ICML
5,2019,The Evolved Transformer,"David So,         Quoc Le,         Chen Liang","Recent works have highlighted the strength of the Transformer architecture on sequence tasks while, at the same time, neural architecture search (NAS) has begun to outperform human-designed models. Our goal is to apply NAS to search for a better alternative to the Transformer. We first construct a large search space inspired by the recent advances in feed-forward sequence models and then run evolutionary architecture search with warm starting by seeding our initial population with the Transformer. To directly search on the computationally expensive WMT 2014 English-German translation task, we develop the Progressive Dynamic Hurdles method, which allows us to dynamically allocate more resources to more promising candidate models. The architecture found in our experiments – the Evolved Transformer – demonstrates consistent improvement over the Transformer on four well-established language tasks: WMT 2014 English-German, WMT 2014 English-French, WMT 2014 English-Czech and LM1B. At a big model size, the Evolved Transformer establishes a new state-of-the-art BLEU score of 29.8 on WMT’14 English-German; at smaller sizes, it achieves the same quality as the original ""big"" Transformer with 37.6% less parameters and outperforms the Transformer by 0.7 BLEU at a mobile-friendly model size of 7M parameters.",http://proceedings.mlr.press/v97/so19a.html,http://proceedings.mlr.press/v97/so19a/so19a.pdf,ICML
6,2019,On Sparse Linear Regression in the Local Differential Privacy Model,"Di Wang,         Jinhui Xu","In this paper, we study the sparse linear regression problem under the Local Differential Privacy (LDP) model. We first show that polynomial dependency on the dimensionality pp of the space is unavoidable for the estimation error in both non-interactive and sequential interactive local models, if the privacy of the whole dataset needs to be preserved. Similar limitations also exist for other types of error measurements and in the relaxed local models. This indicates that differential privacy in high dimensional space is unlikely achievable for the problem. With the understanding of this limitation, we then present two algorithmic results. The first one is a sequential interactive LDP algorithm for the low dimensional sparse case, called Locally Differentially Private Iterative Hard Thresholding (LDP-IHT), which achieves a near optimal upper bound. This algorithm is actually rather general and can be used to solve quite a few other problems, such as (Local) DP-ERM with sparsity constraints and sparse regression with non-linear measurements. The second one is for the restricted (high dimensional) case where only the privacy of the responses (labels) needs to be preserved. For this case, we show that the optimal rate of the error estimation can be made logarithmically depending on pp (i.e., logp\log p) in the local model, where an upper bound is obtained by a label-privacy version of LDP-IHT. Experiments on real world and synthetic datasets confirm our theoretical analysis.",http://proceedings.mlr.press/v97/wang19m.html,http://proceedings.mlr.press/v97/wang19m/wang19m.pdf,ICML
7,2019,Warm-starting Contextual Bandits: Robustly Combining Supervised and Bandit Feedback,"Chicheng Zhang,         Alekh Agarwal,         Hal Daumé Iii,         John Langford,         Sahand Negahban","We investigate the feasibility of learning from both fully-labeled supervised data and contextual bandit data. We specifically consider settings in which the underlying learning signal may be different between these two data sources. Theoretically, we state and prove no-regret algorithms for learning that is robust to divergences between the two sources. Empirically, we evaluate some of these algorithms on a large selection of datasets, showing that our approaches are feasible, and helpful in practice.",http://proceedings.mlr.press/v97/zhang19b.html,http://proceedings.mlr.press/v97/zhang19b/zhang19b.pdf,ICML
8,2019,AutoVC: Zero-Shot Voice Style Transfer with Only Autoencoder Loss,"Kaizhi Qian,         Yang Zhang,         Shiyu Chang,         Xuesong Yang,         Mark Hasegawa-Johnson","Despite the progress in voice conversion, many-to-many voice conversion trained on non-parallel data, as well as zero-shot voice conversion, remains under-explored. Deep style transfer algorithms, generative adversarial networks (GAN) in particular, are being applied as new solutions in this field. However, GAN training is very sophisticated and difficult, and there is no strong evidence that its generated speech is of good perceptual quality. In this paper, we propose a new style transfer scheme that involves only an autoencoder with a carefully designed bottleneck. We formally show that this scheme can achieve distribution-matching style transfer by training only on self-reconstruction loss. Based on this scheme, we proposed AutoVC, which achieves state-of-the-art results in many-to-many voice conversion with non-parallel data, and which is the first to perform zero-shot voice conversion.",http://proceedings.mlr.press/v97/qian19c.html,http://proceedings.mlr.press/v97/qian19c/qian19c.pdf,ICML
9,2019,Similarity of Neural Network Representations Revisited,"Simon Kornblith,         Mohammad Norouzi,         Honglak Lee,         Geoffrey Hinton","Recent work has sought to understand the behavior of neural networks by comparing representations between layers and between different trained models. We examine methods for comparing neural network representations based on canonical correlation analysis (CCA). We show that CCA belongs to a family of statistics for measuring multivariate similarity, but that neither CCA nor any other statistic that is invariant to invertible linear transformation can measure meaningful similarities between representations of higher dimension than the number of data points. We introduce a similarity index that measures the relationship between representational similarity matrices and does not suffer from this limitation. This similarity index is equivalent to centered kernel alignment (CKA) and is also closely connected to CCA. Unlike CCA, CKA can reliably identify correspondences between representations in networks trained from different initializations.",http://proceedings.mlr.press/v97/kornblith19a.html,http://proceedings.mlr.press/v97/kornblith19a/kornblith19a.pdf,ICML
